WORD,Connective Type
aber, Adversative Connectives
dagegen, Adversative Connectives
einersets, Adversative Connectives
entgegen, Adversative Connectives
gegen, Adversative Connectives
im Gegenteil, Adversative Connectives
indessen, Adversative Connectives
jedoch, Adversative Connectives
sondern, Adversative Connectives
wieder, Adversative Connectives
wogegen, Adversative Connectives
aufgrund,Causal Connectives
da,Causal Connectives
dadurch,Causal Connectives
daher,Causal Connectives
dank,Causal Connectives
darum,Causal Connectives
dennoch,Causal Connectives
deswegen,Causal Connectives
durch,Causal Connectives
wegen,Causal Connectives
weil,Causal Connectives
weshalb,Causal Connectives
weswegen,Causal Connectives
bewirkt,Causal Connectives
dafür,Causal Connectives
damit,Causal Connectives
dass,Causal Connectives
dazu,Causal Connectives
für,Causal Connectives
um,Causal Connectives
zum,Causal Connectives
zur,Causal Connectives
zwecks,Causal Connectives
andernfalls,Causal Connectives
angenommen,Causal Connectives
es sei denn,Causal Connectives
falls,Causal Connectives
gesetzt,Causal Connectives
ohne,Causal Connectives
so,Causal Connectives
sofern,Causal Connectives
sonst,Causal Connectives
vorausgesetzt,Causal Connectives
wenn,Causal Connectives
allerdings,Causal Connectives
doch,Causal Connectives
gleichwohl,Causal Connectives
obgleich,Causal Connectives
obwohl,Causal Connectives
sowieso,Causal Connectives
trotz,Causal Connectives
trozdem,Causal Connectives
wenn auch,Causal Connectives
folgendermaßen,Causal Connectives
indem,Causal Connectives
mit,Causal Connectives
mittels,Causal Connectives
worduch,Causal Connectives
anders gesagt,Explanatory Connectives
beziehungsweise,Explanatory Connectives
das heißt,Explanatory Connectives
einfacher,Explanatory Connectives
genauer gesagt,Explanatory Connectives
im Klartext,Explanatory Connectives
ja,Explanatory Connectives
nämlich,Explanatory Connectives
oder auch,Explanatory Connectives
und zwar,Explanatory Connectives
also,Ordering Connectives
bedingt,Ordering Connectives
dann,Ordering Connectives
ergo,Ordering Connectives
folglich,Ordering Connectives
führt dazu,Ordering Connectives
infolge,Ordering Connectives
infolgedessen,Ordering Connectives
mithin,Ordering Connectives
resultiert aus,Ordering Connectives
sodass,Ordering Connectives
somit,Ordering Connectives
als,Temporal Connectives
bevor,Temporal Connectives
dabei,Temporal Connectives
dahmals,Temporal Connectives
danach,Temporal Connectives
daruaf,Temporal Connectives
ehe,Temporal Connectives
endlich,Temporal Connectives
früher,Temporal Connectives
nach,Temporal Connectives
nachdem,Temporal Connectives
seit,Temporal Connectives
sobald,Temporal Connectives
später,Temporal Connectives
und dann,Temporal Connectives
vor,Temporal Connectives
währenddessen,Temporal Connectives
währned,Temporal Connectives
zuvor,Temporal Connectives
weiterhin,Supporting Connectives
